16	620	37	622
17	628	38	631
17	648	39	658
108	36	135	38
109	32	131	34
116	257	161	274
116	294	206	307
119	464	172	474
121	529	173	543
123	430	177	444
124	497	208	509
124	565	186	578
124	631	172	643
124	665	222	677
124	697	297	715
124	722	202	747
125	764	309	785
125	797	322	816
127	834	180	845
128	793	157	797
136	419	159	423
138	619	159	621
139	689	161	691
149	555	170	557
150	818	171	820
151	385	198	408
153	586	294	609
159	755	181	759
161	289	183	290
167	40	190	42
175	254	427	277
176	533	217	542
176	631	252	642
178	462	201	465
178	470	211	474
184	824	274	847
189	452	212	454
191	424	368	447
198	562	408	581
201	384	301	410
205	591	227	593
207	279	228	281
207	285	378	308
212	494	359	516
213	731	361	750
217	449	375	480
218	786	242	791
220	486	242	488
222	520	293	550
225	113	500	138
225	760	247	762
233	665	288	680
237	724	260	726
255	629	307	647
264	341	508	367
267	287	289	289
270	587	294	598
272	385	294	387
277	559	299	560
285	822	333	843
297	529	374	548
298	586	461	606
298	653	417	675
300	524	322	526
302	695	466	714
304	607	326	611
306	184	444	198
312	617	536	641
313	762	472	781
316	755	339	759
317	382	357	404
329	691	351	693
333	723	359	725
335	797	389	814
337	831	391	842
356	787	378	790
364	730	454	745
364	758	386	760
365	492	469	505
366	481	395	488
367	721	388	723
371	384	514	405
377	250	400	252
378	528	407	530
380	532	431	538
385	425	490	444
387	458	437	468
388	282	627	302
392	753	414	756
400	827	650	853
401	616	423	618
403	335	442	339
405	645	427	647
405	796	487	807
414	451	437	453
436	524	650	546
438	246	577	270
440	661	593	676
444	449	524	470
454	811	475	813
460	729	512	740
471	687	593	712
476	592	646	610
477	492	521	504
477	616	500	621
480	583	503	588
480	639	502	643
481	518	506	522
483	751	506	755
483	761	534	772
484	525	507	527
487	458	516	460
504	414	527	415
504	423	648	437
508	792	652	806
519	727	651	739
520	388	646	401
522	718	544	719
523	379	546	382
524	783	552	788
524	856	570	869
526	673	547	679
528	490	572	502
532	457	649	471
538	219	559	221
538	448	560	452
538	760	591	772
544	625	583	637
550	247	577	250
551	754	578	756
556	774	577	776
558	384	581	387
565	810	586	813
576	489	650	506
588	625	619	627
588	630	640	640
591	753	653	772
597	693	649	709
599	660	651	670
601	643	623	645
602	743	623	746
612	686	639	688
624	629	651	630
628	649	650	651
